power2Size: 32
Color: 0 , upperR: 6  , upperC: 10, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 8 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 12, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 5  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 14, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 12, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 13, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 12, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 14, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 7  , upperC: 15, Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 6  , upperC: 14, Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 4  , upperC: 12, Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 0  , upperC: 8 , Size: 8 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 0 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 4 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 9  , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 6 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 4 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 5 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 4 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 6 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 11 , upperC: 7 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 10 , upperC: 6 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 8  , upperC: 4 , Size: 4 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 13 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 13 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 0 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 13 , upperC: 2 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 13 , upperC: 3 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 12 , upperC: 2 , Size: 2 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 14 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 14 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 15 , upperC: 0 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
Color: 0 , upperR: 15 , upperC: 1 , Size: 1 , NWColor: null, NEColor: null, SWColor: null, SEColor: null
